scenario_id,local_seed,category,policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta,assignment_change_delta
heterogeneity_current_perm_4,16,heterogeneity,health_greedy,249.0,2.0,21,21
heterogeneity_current_perm_4,17,heterogeneity,health_greedy,220.0,0.0,20,20
heterogeneity_current_perm_4,18,heterogeneity,health_greedy,345.0,3.0,19,19
heterogeneity_current_perm_4,19,heterogeneity,health_greedy,271.0,56.0,19,19
heterogeneity_current_perm_5,0,heterogeneity,health_greedy,374.0,-16.0,20,20
heterogeneity_current_perm_5,1,heterogeneity,health_greedy,206.0,50.0,25,25
heterogeneity_current_perm_5,2,heterogeneity,health_greedy,249.0,68.0,20,20
heterogeneity_current_perm_5,3,heterogeneity,health_greedy,461.0,-15.0,25,25
heterogeneity_current_perm_5,4,heterogeneity,health_greedy,259.0,26.0,22,22
heterogeneity_current_perm_5,5,heterogeneity,health_greedy,393.0,-4.0,24,24
heterogeneity_current_perm_5,6,heterogeneity,health_greedy,311.0,19.0,26,26
heterogeneity_current_perm_5,7,heterogeneity,health_greedy,247.0,28.0,23,23
heterogeneity_current_perm_5,8,heterogeneity,health_greedy,313.0,-8.0,19,19
heterogeneity_current_perm_5,9,heterogeneity,health_greedy,324.0,7.0,25,25
heterogeneity_current_perm_5,10,heterogeneity,health_greedy,333.0,-12.0,20,20
heterogeneity_current_perm_5,11,heterogeneity,health_greedy,370.0,22.0,25,25
heterogeneity_current_perm_5,12,heterogeneity,health_greedy,285.0,5.0,25,25
heterogeneity_current_perm_5,13,heterogeneity,health_greedy,306.0,27.0,24,24
heterogeneity_current_perm_5,14,heterogeneity,health_greedy,234.0,4.0,19,19
heterogeneity_current_perm_5,15,heterogeneity,health_greedy,261.0,-11.0,26,26
heterogeneity_current_perm_5,16,heterogeneity,health_greedy,289.0,5.0,22,22
heterogeneity_current_perm_5,17,heterogeneity,health_greedy,249.0,2.0,22,22
heterogeneity_current_perm_5,18,heterogeneity,health_greedy,351.0,-14.0,19,19
heterogeneity_current_perm_5,19,heterogeneity,health_greedy,299.0,19.0,20,20
heterogeneity_identical,0,heterogeneity,health_greedy,402.0,3.0,23,23
heterogeneity_identical,1,heterogeneity,health_greedy,287.0,7.0,28,28
heterogeneity_identical,2,heterogeneity,health_greedy,316.0,-2.0,23,23
heterogeneity_identical,3,heterogeneity,health_greedy,434.0,-5.0,28,28
heterogeneity_identical,4,heterogeneity,health_greedy,278.0,15.0,23,23
heterogeneity_identical,5,heterogeneity,health_greedy,402.0,-11.0,28,28
heterogeneity_identical,6,heterogeneity,health_greedy,335.0,-29.0,25,25
heterogeneity_identical,7,heterogeneity,health_greedy,192.0,0.0,23,23
heterogeneity_identical,8,heterogeneity,health_greedy,291.0,-11.0,19,19
heterogeneity_identical,9,heterogeneity,health_greedy,326.0,8.0,26,26
