policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,month,local_seed,simulation_seed
order_blend_50,True,True,882.0,1196.0,314.0,23.30552043660805,2.890470115420248,1196.0,27.177713241940964,0.8923135873079708,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,882.0,1196.0,8.464470276483956,9.356783863791927,9.35645910166508,2025-07,2,1002
expected_n_plus_one,True,True,357.0,1196.0,839.0,16.1711585382849,6.283771257288642,1196.0,27.1751334330984,0.8923889151917042,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1196.0,357.0,8.464470276483956,9.353803964938782,9.35685919167566,2025-07,2,1002
fixed_pair,True,True,864.0,1114.0,250.0,24.063543133230095,2.1347837497387108,1114.0,27.828258543740546,0.3207380171449348,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1114.0,864.0,,9.39552226581165,9.35795202926218,9.074784248666715,2025-07,3,1003
order_blend_50,True,True,1114.0,1135.0,21.0,27.850591747760944,0.37555173440329703,1135.0,28.060867740718813,0.26979243769394223,4,2,"(np.int64(2), np.int64(1), np.int64(0))",,1135.0,1114.0,9.218802612902309,9.353470077220253,9.48859505059625,2025-07,3,1003
expected_n_plus_one,True,True,314.0,1114.0,800.0,16.494876651497417,5.965452045306351,1114.0,27.857114145825122,0.24609718656076218,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1114.0,314.0,9.125729158486793,9.371826345047555,9.359558642290773,2025-07,3,1003
fixed_pair,True,True,939.0,1221.0,282.0,24.256091163026905,1.951174108679771,1221.0,28.04781316799793,0.03115764312422087,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,939.0,1221.0,9.331263580506896,9.362421223631117,9.354128363859916,2025-07,4,1004
order_blend_50,True,True,1215.0,1218.0,3.0,27.992814523091234,0.05677633693059825,1218.0,28.036631906177124,0.03904167560185812,8,6,"(np.int64(2), np.int64(1), np.int64(0))",,1218.0,1215.0,9.320668765505973,9.359710441107831,9.35625269956332,2025-07,4,1004
expected_n_plus_one,True,True,312.0,1218.0,906.0,16.260199582934902,6.189632331628509,1218.0,28.031134394582466,0.03708864239992593,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1218.0,312.0,9.319867750505974,9.3569563929059,9.354310251170594,2025-07,4,1004
fixed_pair,True,True,830.0,1066.0,236.0,24.115452848434224,2.107468084956974,1066.0,27.544388465061814,0.714601814132374,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,830.0,1066.0,8.729768798228033,9.370249054473376,9.444370612360407,2025-07,5,1005
order_blend_50,True,True,1066.0,1081.0,15.0,27.552747668984793,0.8389936946320944,1081.0,27.8103672909591,0.6865832082659935,5,3,"(np.int64(1), np.int64(2), np.int64(0))",,1066.0,1081.0,8.882179284594134,9.568762492860127,9.35942551350484,2025-07,5,1005
