strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,penalty_multiple
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1073.2527589018732,64.86247754686309,46.25170227012214,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1073.4910348950102,0.02025599987246096,2030,development,1.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1071.6544923732806,64.76588564345089,46.3206821028526,10,6,4,10,0.05333333333333334,0.9466666666666667,0.0,0.0,1072.8458723389654,0.0222849000710994,2030,development,1.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1070.574776090471,64.70063254014428,46.36739831157917,10,6,4,10,0.12222222222222222,0.8777777777777778,0.0,0.0,1071.7661560561558,0.030056699877604842,2030,development,1.0
one_step_greedy,900,1.0,0.238275993136941,1.0,2.0,1073.2527589018732,64.86247754686309,46.25170227012214,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1073.7293108881472,0.020228100009262562,2030,development,2.0
break_even_hysteresis,900,1.0,0.238275993136941,1.0,2.0,1072.0877832442877,64.79207175772719,46.301961314305565,4,3,1,4,0.02,0.98,0.0,0.0,1073.0408872168355,0.02317710011266172,2030,development,2.0
offline_dp,900,1.0,0.238275993136941,1.0,2.0,1071.4506413003228,64.75356581894266,46.3294949406846,4,3,1,4,0.05444444444444444,0.9455555555555556,0.0,0.0,1072.4037452728705,0.030240599997341633,2030,development,2.0
one_step_greedy,900,1.0,0.476551986273882,1.0,2.0,1073.2527589018732,64.86247754686309,46.25170227012214,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1074.205862874421,0.020587800070643425,2030,development,4.0
break_even_hysteresis,900,1.0,0.476551986273882,1.0,2.0,1072.4345131684129,64.81302652512177,46.286991378765244,2,2,0,2,0.015555555555555555,0.9844444444444445,0.0,0.0,1073.3876171409606,0.02366559999063611,2030,development,4.0
offline_dp,900,1.0,0.476551986273882,1.0,2.0,1072.0253903016826,64.7883010142511,46.30465613444782,2,2,0,2,0.01,0.99,0.0,0.0,1072.9784942742303,0.03101569996215403,2030,development,4.0
one_step_greedy,900,1.0,0.0,1.0,2.0,956.4904400277454,64.39445542538076,46.58786195461118,26,14,12,26,0.31,0.69,0.0,0.0,956.4904400277454,0.02072759997099638,2031,development,0.0
break_even_hysteresis,900,1.0,0.0,1.0,2.0,956.4904400277454,64.39445542538076,46.58786195461118,26,14,12,26,0.31,0.69,0.0,0.0,956.4904400277454,0.023573899874463677,2031,development,0.0
offline_dp,900,1.0,0.0,1.0,2.0,956.4904400277454,64.39445542538076,46.58786195461118,26,14,12,26,0.31,0.69,0.0,0.0,956.4904400277454,0.031139299971982837,2031,development,0.0
one_step_greedy,900,1.0,0.05956899828423525,1.0,2.0,960.2072093976552,64.64468201364663,46.40752969233716,2,2,0,2,0.02,0.98,0.0,0.0,960.3263473942237,0.020894400076940656,2031,development,0.5
break_even_hysteresis,900,1.0,0.05956899828423525,1.0,2.0,957.8322650869868,64.48479202504762,46.522597123903566,24,13,11,24,0.20555555555555555,0.7944444444444444,0.0,0.0,959.2619210458084,0.02264009998179972,2031,development,0.5
offline_dp,900,1.0,0.05956899828423525,1.0,2.0,956.6079458211092,64.40236634770295,46.58213929288335,24,13,11,24,0.3011111111111111,0.6988888888888889,0.0,0.0,958.0376017799308,0.03160590003244579,2031,development,0.5
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,961.4479811185062,64.72821533078998,46.34763966021103,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,961.6862571116432,0.021209700033068657,2031,development,1.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,959.3809326877345,64.5890540255985,46.44749865528319,18,10,8,18,0.11555555555555555,0.8844444444444445,0.0,0.0,961.525416625967,0.023007499985396862,2031,development,1.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,957.2035843676473,64.44246692605644,46.55315265075601,18,10,8,18,0.25555555555555554,0.7444444444444445,0.0,0.0,959.3480683058798,0.0314447998534888,2031,development,1.0
one_step_greedy,900,1.0,0.238275993136941,1.0,2.0,961.4479811185062,64.72821533078998,46.34763966021103,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,961.92453310478,0.0202375000808388,2031,development,2.0
break_even_hysteresis,900,1.0,0.238275993136941,1.0,2.0,960.2828798664362,64.64977642800251,46.40387277040258,4,3,1,4,0.03,0.97,0.0,0.0,961.235983838984,0.023425699910148978,2031,development,2.0
offline_dp,900,1.0,0.238275993136941,1.0,2.0,959.6404991931753,64.60652899771013,46.434935393392344,4,3,1,4,0.06444444444444444,0.9355555555555556,0.0,0.0,960.593603165723,0.03188440017402172,2031,development,2.0
one_step_greedy,900,1.0,0.476551986273882,1.0,2.0,961.4479811185062,64.72821533078998,46.34763966021103,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,962.4010850910539,0.020652199862524867,2031,development,4.0
break_even_hysteresis,900,1.0,0.476551986273882,1.0,2.0,960.6503421551021,64.67451534119783,46.38612263537123,2,2,0,2,0.025555555555555557,0.9744444444444444,0.0,0.0,961.6034461276498,0.023555800085887313,2031,development,4.0
offline_dp,900,1.0,0.476551986273882,1.0,2.0,960.2072093976552,64.64468201364663,46.40752969233716,2,2,0,2,0.02,0.98,0.0,0.0,961.160313370203,0.03136399993672967,2031,development,4.0
one_step_greedy,900,1.0,0.0,1.0,2.0,1029.652786619705,64.88714728768548,46.23411762423624,22,12,10,22,0.21777777777777776,0.7822222222222223,0.0,0.0,1029.652786619705,0.021336199948564172,2032,development,0.0
break_even_hysteresis,900,1.0,0.0,1.0,2.0,1029.652786619705,64.88714728768548,46.23411762423624,22,12,10,22,0.21777777777777776,0.7822222222222223,0.0,0.0,1029.652786619705,0.023213400039821863,2032,development,0.0
offline_dp,900,1.0,0.0,1.0,2.0,1029.652786619705,64.88714728768548,46.23411762423624,22,12,10,22,0.21777777777777776,0.7822222222222223,0.0,0.0,1029.652786619705,0.03172119986265898,2032,development,0.0
one_step_greedy,900,1.0,0.05956899828423525,1.0,2.0,1032.2179953859743,65.0488028294405,46.11921925551911,2,2,0,2,0.015555555555555555,0.9844444444444445,0.0,0.0,1032.3371333825428,0.020448100054636598,2032,development,0.5
break_even_hysteresis,900,1.0,0.05956899828423525,1.0,2.0,1030.7812280210107,64.95825994271206,46.183503108700165,22,12,10,22,0.1288888888888889,0.8711111111111111,0.0,0.0,1032.091745983264,0.02283330005593598,2032,development,0.5
offline_dp,900,1.0,0.05956899828423525,1.0,2.0,1029.652786619705,64.88714728768548,46.23411762423624,22,12,10,22,0.21777777777777776,0.7822222222222223,0.0,0.0,1030.9633045819583,0.03160310001112521,2032,development,0.5
