strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,failed_stack,fault_step,fault_demand_net_power_kw,faulted_stack_active_before_fault,faulted_stack_post_fault_max_kw,reconfiguration_delay_steps,fault_step_state_changes,reserve_stack_1_post_fault_share,healthy_post_fault_hydrogen_g,faulted_post_fault_hydrogen_g,incremental_post_fault_hydrogen_g,incremental_post_fault_hydrogen_pct
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,954.082623819512,65.27373579647298,45.96029265666911,28,15,13,27,0.3188888888888889,0.6811111111111111,0.0,0.0,957.4184877234292,0.04233339987695217,3026,stack_2,308,104.36533502451285,True,0.0,0,2,0.643581081081081,591.5992287333893,599.4838133273762,7.884584593986915,1.3327577540741098
average,900,1.0,0.1191379965684705,1.0,2.0,972.175380595717,66.51155503367067,45.10494452401977,4,3,1,2,0.0,1.0,0.0,0.0,972.6519325819909,0.1938586002215743,3026,stack_3,308,104.36533502451285,True,0.0,0,2,1.0,595.3668128246104,616.0277699049554,20.660957080345042,3.4702903546677044
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1114.328315553396,76.23697386791626,39.35098480164793,26,14,12,25,0.6266666666666667,0.37333333333333335,0.0,0.0,1117.4259034641761,0.18580359988845885,3026,stack_3,308,104.36533502451285,True,0.0,0,2,0.33783783783783783,691.2108053789598,693.6266479198057,2.415842540845915,0.34950879269333157
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,963.9368106200482,65.94791177415954,45.490447222553236,30,16,14,29,0.33,0.67,0.0,0.0,967.5109505171023,0.05013780016452074,3026,stack_3,308,104.36533502451285,True,0.0,0,2,0.6266891891891891,591.4594370373995,609.3380001279107,17.878563090511193,3.022787696154494
sticky,900,1.0,0.1191379965684705,1.0,2.0,970.0641051924898,66.3671117439353,45.20311222183238,4,3,1,3,0.034444444444444444,0.9655555555555555,0.0,0.0,970.5406571787637,0.04780700011178851,3026,stack_3,308,104.36533502451285,True,0.0,0,2,1.0,594.6581044840832,612.8176392130524,18.15953472896922,3.053777387718304
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,970.0641051924898,66.3671117439353,45.20311222183238,4,3,1,3,0.034444444444444444,0.9655555555555555,0.0,0.0,970.5406571787637,0.05359689984470606,3026,stack_3,308,104.36533502451285,True,0.0,0,2,1.0,594.6581044840832,612.8176392130524,18.15953472896922,3.053777387718304
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,967.340404754824,66.18076928436382,45.33038875854821,28,15,13,27,0.12666666666666668,0.8733333333333333,0.0,0.0,970.6762686587412,0.05318499985150993,3026,stack_3,308,104.36533502451285,True,0.0,0,2,0.8851351351351351,594.3468428895351,612.1107736153048,17.763930725769683,2.9888155272108197
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,964.0894659242269,65.95835571448937,45.48324420011245,28,15,13,27,0.3188888888888889,0.6811111111111111,0.0,0.0,967.4253298281441,0.0576112000271678,3026,stack_3,308,104.36533502451285,True,0.0,0,2,0.643581081081081,591.5992287333893,609.4906554320892,17.891426698699888,3.0242478065776623
average,900,1.0,0.1191379965684705,1.0,2.0,1187.5587794472594,66.3109465205993,45.24139915674494,2,2,0,1,0.0,1.0,0.0,0.0,1187.7970554403964,0.19024739996530116,3027,stack_1,326,100.33255251569426,False,0.0,0,0,0.0,766.2802406675464,766.2802406675464,0.0,0.0
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1407.1204217110642,78.57083678464724,38.18210576301536,23,12,11,23,0.4444444444444444,0.5555555555555556,0.0,0.0,1409.860595632139,0.1935728001408279,3027,stack_1,326,100.33255251569426,False,0.0,0,0,0.0,905.7438904114864,905.7438904114864,0.0,0.0
