i0_A_per_cm2,ih_A_per_cm2,R_ohm_cm2
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.9069799999999998e-07,0.002,0.04061
1.90697e-07,0.002,0.04061
1.90697e-07,0.002,0.04061
1.90697e-07,0.002,0.04061
1.90696e-07,0.002,0.04061
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.90694e-07,0.002,0.04062
1.9069499999999997e-07,0.002,0.04062
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90694e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90692e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90693e-07,0.002,0.04063
1.90692e-07,0.002,0.04063
1.90692e-07,0.002,0.04063
1.90692e-07,0.002,0.04063
1.90692e-07,0.002,0.04063
1.90692e-07,0.002,0.04063
1.90692e-07,0.002,0.04063
1.9069e-07,0.002,0.04064
1.90688e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
