load_source,continuous_multiplier,start_stop_multiplier,load_shift_multiplier,n_pairs,mean_beam_minus_average_pct,ci95_pct,mean_relative_pct,beam_lower_share
real_block_bootstrap,2.0,1.0,0.25,10,-0.00025195283333333317,0.0004277829833209741,-5.926952183696138,0.8
synthetic_event_markov,2.0,1.0,0.25,10,-2.1906833333333078e-05,2.1260242071784347e-05,-0.5014667457705559,0.8
real_block_bootstrap,2.0,1.0,0.5,10,-0.0002801203333333333,0.00042626000390662305,-6.491807394420773,0.8
synthetic_event_markov,2.0,1.0,0.5,10,-3.317383333333304e-05,3.4729792228921834e-05,-0.7395875278431765,0.8
real_block_bootstrap,2.0,1.0,1.0,10,-0.0003364553333333333,0.0004248251114742815,-7.524329456690784,0.8
synthetic_event_markov,2.0,1.0,1.0,10,-5.570783333333313e-05,6.202584064201734e-05,-1.1789682956426084,0.8
real_block_bootstrap,2.0,1.0,2.0,10,-0.00044912533333333335,0.000428432726223445,-9.27344299334182,0.8
synthetic_event_markov,2.0,1.0,2.0,10,-0.0001007758333333334,0.00011687685373653845,-1.9316990608276896,0.8
real_block_bootstrap,2.0,1.0,4.0,10,-0.0006744653333333334,0.0004602104724913021,-11.893124311726622,0.8
synthetic_event_markov,2.0,1.0,4.0,10,-0.00019091183333333362,0.0002267372744360599,-3.0599196198748966,0.8
real_block_bootstrap,2.0,2.0,0.25,10,-0.000467552833333333,0.0008500405756138611,-5.593776955244048,0.8
synthetic_event_markov,2.0,2.0,0.25,10,-2.1906833333333945e-05,2.1260242071784225e-05,-0.25820122348735197,0.8
