boundary_id,boundary_label,boundary_order,boundary_over_calibration,scenario_id,policy,local_seed,first_gain_change_vs_lzw_h,second_gain_change_vs_lzw_h
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,14,2590.0,559.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,15,2567.0,873.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,16,2636.0,748.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,17,1978.0,765.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,18,2346.0,832.0
370a_10pct_voltage_loss,"370 A, 10% loss",3,1.9807788142182403,heterogeneity_gp_re_increased_perm_3,order_blend_50,19,2125.0,948.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,0,734.0,122.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,1,200.0,186.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,2,230.0,232.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,3,697.0,116.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,4,685.0,108.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,5,608.0,91.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,6,633.0,140.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,7,664.0,5.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,8,696.0,31.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,9,397.0,-20.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,10,762.0,126.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,11,784.0,11.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,12,734.0,65.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,13,300.0,222.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,14,185.0,277.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,15,210.0,330.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,16,822.0,9.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,17,148.0,306.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,18,706.0,118.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,reference,guarded_blend,19,562.0,126.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,guarded_blend,0,88.0,-43.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,guarded_blend,1,335.0,-3.0
370a_5pct_voltage_loss,"370 A, 5% loss",1,1.3036156466795592,heterogeneity_gp_re_increased_perm_2,guarded_blend,2,267.0,38.0
